Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_Urls,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
Various,Jon Savage's Ambient 90s,,,,,"style_exact, Ambient",https://discogs.com/release/29078857-Various-Jon-Savages-Ambient-90s,,,
Trhä,Im Ëmat Gan Líeshtam Namvajno,,,,,"style_exact, Ambient",https://discogs.com/release/29234845-Trh%C3%A4-Im-%C3%8Bmat-Gan-L%C3%ADeshtam-Namvajno,,,
"M. Wilczyński*, A. Korzyński*",Bolek I Lolek Na Dzikim Zachodzie,,,,,"style_exact, Ambient",https://discogs.com/release/29239420-M-Wilczy%C5%84ski-A-Korzy%C5%84ski-Bolek-I-Lolek-Na-Dzikim-Zachodzie,,,
"Pork Suicidal, Mourning Souls, Celtic Lemavos",Stregheria,,,,,"style_exact, Ambient",https://discogs.com/release/29163148-Pork-Suicidal-Mourning-Souls-Celtic-Lemavos-Stregheria,,,
Meitei,Kofu III,,,,,"style_exact, Ambient",https://discogs.com/release/29241448-Meitei-Kofu-III,,,
Ritualz,Hypermotion X 2.0,,,,,"style_exact, Ambient",https://discogs.com/release/29077807-Ritualz-Hypermotion-X-20,,,
Pink Floyd,The Endless River,,,,,"style_exact, Ambient",https://discogs.com/release/29023867-Pink-Floyd-The-Endless-River,,,
Gomo Park,La Tendresse Des Ours,,,,,"style_exact, Ambient",https://discogs.com/release/29017441-Gomo-Park-La-Tendresse-Des-Ours,,,
Simon Wester ,Goodness,,,,,"style_exact, Ambient",https://discogs.com/release/29011282-Simon-Wester-Goodness,,,
Takkra,Universal Medicine,,,,,"style_exact, Ambient",https://discogs.com/release/28999201-Takkra-Universal-Medicine,,,
The Upsidedown Stars,Beauty,,,,,"style_exact, Ambient",https://discogs.com/release/28993951-The-Upsidedown-Stars-Beauty,,,
First Tone,1,,,,,"style_exact, Ambient",https://discogs.com/release/28993507-First-Tone-1,,,
Ola Sandberg,Invisible Room Volume One,,,,,"style_exact, Ambient",https://discogs.com/release/28989274-Ola-Sandberg-Invisible-Room-Volume-One,,,
Larbjo,Transits And Passages,,,,,"style_exact, Ambient",https://discogs.com/release/28978957-Larbjo-Transits-And-Passages,,,
Hirotaka Shirotsubaki,Wet Petals,,,,,"style_exact, Ambient",https://discogs.com/release/28978840-Hirotaka-Shirotsubaki-Wet-Petals,,,
Joel Fausto,Illusion Orchestra At The Gloomy Club,,,,,"style_exact, Ambient",https://discogs.com/release/28978204-Joel-Fausto-Illusion-Orchestra-At-The-Gloomy-Club,,,
William Lyons ,Sur Les Ailes Du Vent,,,,,"style_exact, Ambient",https://discogs.com/release/29028178-William-Lyons-Sur-Les-Ailes-Du-Vent,,,
Blackboxx,Parisian Windows (A Dream Sequence),,,,,"style_exact, Ambient",https://discogs.com/release/29147581-Blackboxx-Parisian-Windows-A-Dream-Sequence,,,
Endless Fog,Weary Abodes,,,,,"style_exact, Ambient",https://discogs.com/release/29140750-Endless-Fog-Weary-Abodes,,,
Various,Stanley Kubrick's A Clockwork Orange,,,,,"style_exact, Ambient",https://discogs.com/release/29139367-Various-Stanley-Kubricks-A-Clockwork-Orange,,,
Colin Andrew Sheffield,Images,,,,,"style_exact, Ambient",https://discogs.com/release/29126410-Colin-Andrew-Sheffield-Images,,,
Arcane Electric,Umbral Passage,,,,,"style_exact, Ambient",https://discogs.com/release/29095516-Arcane-Electric-Umbral-Passage,,,
Ken Martin ,Cydonia,,,,,"style_exact, Ambient",https://discogs.com/release/29080309-Ken-Martin-Cydonia,,,
Rotten Milk,Manqué,,,,,"style_exact, Ambient",https://discogs.com/release/29080261-Rotten-Milk-Manqu%C3%A9,,,
Hubeskyla,Turn Out,,,,,"style_exact, Ambient",https://discogs.com/release/29060692-Hubeskyla-Turn-Out,,,
Paul Denton ,Global Consciousness,,,,,"style_exact, Ambient",https://discogs.com/release/29006611-Paul-Denton-Global-Consciousness,,,
Deep Forest / Various,Deep Forest IV World Mix II,,,,,"style_exact, Ambient",https://discogs.com/release/28997734-Deep-Forest-Various-Deep-Forest-IV-World-Mix-II,,,
Wahn ,Disabled Soldier,,,,,"style_exact, Ambient",https://discogs.com/release/29145064-Wahn-Disabled-Soldier,,,
Natural Life Essence,Bioluminescent Forest,,,,,"style_exact, Ambient",https://discogs.com/release/29174413-Natural-Life-Essence-Bioluminescent-Forest,,,
Transhuman Art Critics,Fluxus Musik Zone West,,,,,"style_exact, Ambient",https://discogs.com/release/29152855-Transhuman-Art-Critics-Fluxus-Musik-Zone-West,,,
Various,Ambient Layers Vol​.​II,,,,,"style_exact, Ambient",https://discogs.com/release/29151802-Various-Ambient-Layers-VolII,,,
Islaja,Angel Tape,,,,,"style_exact, Ambient",https://discogs.com/release/29227216-Islaja-Angel-Tape,,,
Black Deer,The Last Remixes,,,,,"style_exact, Ambient",https://discogs.com/release/29197240-Black-Deer-The-Last-Remixes,,,
Mourning Souls,The Weight Of Solitude,,,,,"style_exact, Ambient",https://discogs.com/release/29195263-Mourning-Souls-The-Weight-Of-Solitude,,,
Deeper Than Space,Earthset,,,,,"style_exact, Ambient",https://discogs.com/release/29179909-Deeper-Than-Space-Earthset,,,
Shifted,Appropriation Stories,,,,,"style_exact, Ambient",https://discogs.com/release/29176843-Shifted-Appropriation-Stories,,,
Various,The Sweet Sound Of A Whisper 2,,,,,"style_exact, Ambient",https://discogs.com/release/29105716-Various-The-Sweet-Sound-Of-A-Whisper-2,,,
Aalfang Mit Pferdekopf & Emerge,Die Kosmische Zygote (Expanded),,,,,"style_exact, Ambient",https://discogs.com/release/29185246-Aalfang-Mit-Pferdekopf-Emerge-Die-Kosmische-Zygote-Expanded,,,
Les Chasseurs De La Nuit & Burial Hex,Split,,,,,"style_exact, Ambient",https://discogs.com/release/29240854-Les-Chasseurs-De-La-Nuit-Burial-Hex-Split,,,
Yoshihisa Nagao,Untitled Samples Disk-01 -Lost Tracks-,,,,,"style_exact, Ambient",https://discogs.com/release/29137363-Yoshihisa-Nagao-Untitled-Samples-Disk-01-Lost-Tracks-,,,
Arcane Electric,Hortus Inceptivus,,,,,"style_exact, Ambient",https://discogs.com/release/29095630-Arcane-Electric-Hortus-Inceptivus,,,
Gruvaldo,Erleuchtung,,,,,"style_exact, Ambient",https://discogs.com/release/29076310-Gruvaldo-Erleuchtung,,,
Paolino Canzoneri,Gioie Campestri,,,,,"style_exact, Ambient",https://discogs.com/release/29060830-Paolino-Canzoneri-Gioie-Campestri,,,
Various,Loathe Football,,,,,"style_exact, Ambient",https://discogs.com/release/29020804-Various-Loathe-Football,,,
Flutterwhat,"Let Me Dance, Let Me Glisten",,,,,"style_exact, Ambient",https://discogs.com/release/29014831-Flutterwhat-Let-Me-Dance-Let-Me-Glisten,,,
Salt Of The Sound,Made Whole,,,,,"style_exact, Ambient",https://discogs.com/release/29010433-Salt-Of-The-Sound-Made-Whole,,,
Deep Forest,Pangea,,,,,"style_exact, Ambient",https://discogs.com/release/28997605-Deep-Forest-Pangea,,,
Ola Sandberg,Invisible Room Volume Two,,,,,"style_exact, Ambient",https://discogs.com/release/28989517-Ola-Sandberg-Invisible-Room-Volume-Two,,,
Midimode,Spaceability Remixed,,,,,"style_exact, Ambient",https://discogs.com/release/28966309-Midimode-Spaceability-Remixed,,,
Jon Savage,Ambient 90s,,,,,"style_exact, Ambient",https://discogs.com/release/29085949-Jon-Savage-Ambient-90s,,,
Demon Grrl,rhea_reborn,,,,,"style_exact, Ambient",https://discogs.com/release/29223142-Demon-Grrl-rhea_reborn-,,,
Trigaida,Elate,,,,,"style_exact, Ambient",https://discogs.com/release/29222383-Trigaida-Elate,,,
Cocteau Twins,Blue Bell Knoll,,,,,"style_exact, Ambient",https://discogs.com/release/29214439-Cocteau-Twins-Blue-Bell-Knoll,,,
"Ars Moriendi , Neant, Profundae Libidines, Waiting for My End",Ars Moriendi / Neant / Profundae Libidines / Waiting For My End,,,,,"style_exact, Ambient",https://discogs.com/release/29201902-Ars-Moriendi-4-Neant-Profundae-Libidines-Waiting-for-My-End-Ars-Moriendi-Neant-Profundae-Libidines-W,,,
Masterboy,Different Dreams,,,,,"style_exact, Ambient",https://discogs.com/release/29199292-Masterboy-Different-Dreams,,,
pl8,Common Types,,,,,"style_exact, Ambient",https://discogs.com/release/29189458-pl8-Common-Types,,,
Oculus Tapageur,Dispositif Circulaire,,,,,"style_exact, Ambient",https://discogs.com/release/29177962-Oculus-Tapageur-Dispositif-Circulaire,,,
Marco Dobra,Spurensuche,,,,,"style_exact, Ambient",https://discogs.com/release/29174827-Marco-Dobra-Spurensuche,,,
Pietro Zollo,IOXIO,,,,,"style_exact, Ambient",https://discogs.com/release/29171845-Pietro-Zollo-IOXIO,,,
