Discogs_Artists,Discogs_Titles,Discogs_Labels,Discogs_Tags,Discogs_Countries,Discogs_Years,Discogs_Search_Filters,Discogs_Urls,Discogs_Formats,Discogs_Tracklist,Discogs_YouTube_Videos
Vatican Shadow,SR​-​71 Blackbird Survivors,,,,,"style_exact, Ambient",https://discogs.com/release/29104180-Vatican-Shadow-SR-71-Blackbird-Survivors,,,
Rainer Tillmann,The Sounds Of Planets/2,,,,,"style_exact, Ambient",https://discogs.com/release/28978066-Rainer-Tillmann-The-Sounds-Of-Planets2,,,
Demon Grrl,Breathe,,,,,"style_exact, Ambient",https://discogs.com/release/29223295-Demon-Grrl-Breathe,,,
Various,Less,,,,,"style_exact, Ambient",https://discogs.com/release/29200066-Various-Less,,,
Vangelis,Gift...,,,,,"style_exact, Ambient",https://discogs.com/release/29143831-Vangelis-Gift,,,
Clark*,Blasphs_Karaoke,,,,,"style_exact, Ambient",https://discogs.com/release/29141365-Clark-Blasphs_Karaoke,,,
Teresa Cos,Karnofsky​’​s Score,,,,,"style_exact, Ambient",https://discogs.com/release/29182291-Teresa-Cos-Karnofskys-Score,,,
drooee,Leftwise,,,,,"style_exact, Ambient",https://discogs.com/release/29178712-drooee-Leftwise,,,
Various,Diez Mares,,,,,"style_exact, Ambient",https://discogs.com/release/28998895-Various-Diez-Mares,,,
⦓🍊⦔ タンジェリン,🥝,,,,,"style_exact, Ambient",https://discogs.com/release/29158561--%E3%82%BF%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%B3-,,,
Various,Grecospectiva 80s,,,,,"style_exact, Ambient",https://discogs.com/release/29090170-Various-Grecospectiva-80s,,,
Molecule ,RE-201,,,,,"style_exact, Ambient",https://discogs.com/release/29004733-Molecule-RE-201,,,
Vatican Shadow / Salford Electronics,Temple Gas Mask,,,,,"style_exact, Ambient",https://discogs.com/release/29104141-Vatican-Shadow-Salford-Electronics-Temple-Gas-Mask,,,
Various,Music For Elevators Vol.4,,,,,"style_exact, Ambient",https://discogs.com/release/29148499-Various-Music-For-Elevators-Vol4,,,
Non Machina,Tesoros,,,,,"style_exact, Ambient",https://discogs.com/release/29119564-Non-Machina-Tesoros,,,
MetaMorphosys,Register,,,,,"style_exact, Ambient",https://discogs.com/release/29114518-MetaMorphosys-Register,,,
Mikael Tobias,APERTURE,,,,,"style_exact, Ambient",https://discogs.com/release/29105593-Mikael-Tobias-APERTURE,,,
Vatican Shadow,Opium Crop Airstrikes,,,,,"style_exact, Ambient",https://discogs.com/release/29103943-Vatican-Shadow-Opium-Crop-Airstrikes,,,
Chra,Seamons,,,,,"style_exact, Ambient",https://discogs.com/release/29086810-Chra-Seamons,,,
Unknown Artist,Sounds Of Seasons,,,,,"style_exact, Ambient",https://discogs.com/release/29060845-Unknown-Artist-Sounds-Of-Seasons,,,
Survey Channel,Human Imagery,,,,,"style_exact, Ambient",https://discogs.com/release/29044633-Survey-Channel-Human-Imagery,,,
MIRAKLE LABS LTD.,ソ​ー​ダ​ク​ロ​ニ​ク​ル​ズ,,,,,"style_exact, Ambient",https://discogs.com/release/29035855-MIRAKLE-LABS-LTD-%E3%82%BD%E3%83%BC%E3%83%80%E3%82%AF%E3%83%AD%E3%83%8B%E3%82%AF%E3%83%AB%E3%82%BA,,,
Simon Wester ,Calm In The Storm,,,,,"style_exact, Ambient",https://discogs.com/release/29012452-Simon-Wester-Calm-In-The-Storm,,,
Simon Wester ,Speak Life,,,,,"style_exact, Ambient",https://discogs.com/release/29011780-Simon-Wester-Speak-Life,,,
Salt Of The Sound And Simon Wester ,Sanctuary,,,,,"style_exact, Ambient",https://discogs.com/release/29010607-Salt-Of-The-Sound-And-Simon-Wester-Sanctuary,,,
Tomita,Mind Of The Universe Highlights,,,,,"style_exact, Ambient",https://discogs.com/release/28997584-Tomita-Mind-Of-The-Universe-Highlights,,,
Rick Armstrong,Chromosphere,,,,,"style_exact, Ambient",https://discogs.com/release/28989445-Rick-Armstrong-Chromosphere,,,
Cosmic Wildlife,How To,,,,,"style_exact, Ambient",https://discogs.com/release/29189554-Cosmic-Wildlife-How-To,,,
SS Ultrazion SS,Proud Zionist Israeli God / Yahwehsynth Reverbabuser,,,,,"style_exact, Ambient",https://discogs.com/release/29167291-SS-Ultrazion-SS-Proud-Zionist-Israeli-God-Yahwehsynth-Reverbabuser,,,
Dale Nougher,Reef Magic,,,,,"style_exact, Ambient",https://discogs.com/release/29160181-Dale-Nougher-Reef-Magic,,,
Internazionale,They Taught Us To Count The Days,,,,,"style_exact, Ambient",https://discogs.com/release/29086429-Internazionale-They-Taught-Us-To-Count-The-Days,,,
Tangerine Dream,Ricochet,,,,,"style_exact, Ambient",https://discogs.com/release/29201281-Tangerine-Dream-Ricochet,,,
Noxw  vs.  Mama Bär  /  Commissaire Hjuluba Na Wali*,FLU+/-us Ape Ape Lukasa,,,,,"style_exact, Ambient",https://discogs.com/release/29118004-Noxw-vs-Mama-B%C3%A4r-Commissaire-Hjuluba-Na-Wali-FLU-us-Ape-Ape-Lukasa,,,
Sam ,Water Of Love,,,,,"style_exact, Ambient",https://discogs.com/release/29231125-Sam-Water-Of-Love,,,
Dagda Mor,This Sun For Europe,,,,,"style_exact, Ambient",https://discogs.com/release/29222989-Dagda-Mor-This-Sun-For-Europe,,,
Lẽtum*,Dreams And Illusions,,,,,"style_exact, Ambient",https://discogs.com/release/29216644-L%E1%BA%BDtum-Dreams-And-Illusions,,,
The Jaffa Kid,5 Ton EP,,,,,"style_exact, Ambient",https://discogs.com/release/29140720-The-Jaffa-Kid-5-Ton-EP,,,
Piiptsjilling,Stienrinner,,,,,"style_exact, Ambient",https://discogs.com/release/29134963-Piiptsjilling-Stienrinner,,,
Alternet ,Prologue,,,,,"style_exact, Ambient",https://discogs.com/release/29121328-Alternet-Prologue,,,
Yhorm,Dagon,,,,,"style_exact, Ambient",https://discogs.com/release/29116801-Yhorm-Dagon,,,
Vatican Shadow,SR​-​71 Blackbird Survivors,,,,,"style_exact, Ambient",https://discogs.com/release/29104066-Vatican-Shadow-SR-71-Blackbird-Survivors,,,
Namasté,Magical Healing Mantras,,,,,"style_exact, Ambient",https://discogs.com/release/29100085-Namast%C3%A9-Magical-Healing-Mantras,,,
Daniel Leclerc ,Musique Pour La Paix De L'Âme Vol. 1,,,,,"style_exact, Ambient",https://discogs.com/release/29079400-Daniel-Leclerc-Musique-Pour-La-Paix-De-L%C3%82me-Vol-1,,,
Marek Zebrowski & David Lynch,Polish Night Music,,,,,"style_exact, Ambient",https://discogs.com/release/29078593-Marek-Zebrowski-David-Lynch-Polish-Night-Music,,,
Bobby Legaspi,Beneath Black Waves,,,,,"style_exact, Ambient",https://discogs.com/release/29065531-Bobby-Legaspi-Beneath-Black-Waves,,,
Delerium,Poem,,,,,"style_exact, Ambient",https://discogs.com/release/29029492-Delerium-Poem,,,
Spiracle,Lumen,,,,,"style_exact, Ambient",https://discogs.com/release/29019613-Spiracle-Lumen,,,
Spiracle,Mahoraga 摩​睺​羅​伽,,,,,"style_exact, Ambient",https://discogs.com/release/29019208-Spiracle-Mahoraga-%E6%91%A9%E7%9D%BA%E7%BE%85%E4%BC%BD,,,
Salt Of The Sound,"And On Earth, Peace",,,,,"style_exact, Ambient",https://discogs.com/release/29009833-Salt-Of-The-Sound-And-On-Earth-Peace,,,
Salt Of The Sound,"Meditations, Vol. 5",,,,,"style_exact, Ambient",https://discogs.com/release/29003260-Salt-Of-The-Sound-Meditations-Vol-5,,,
Hexsystem,Amanita Ocreata,,,,,"style_exact, Ambient",https://discogs.com/release/29000101-Hexsystem-Amanita-Ocreata,,,
Min-Y-Llan,Touched By Lights,,,,,"style_exact, Ambient",https://discogs.com/release/28966321-Min-Y-Llan-Touched-By-Lights,,,
Various,1 A.M Chill Session,,,,,"style_exact, Ambient",https://discogs.com/release/29167129-Various-1-AM-Chill-Session,,,
Stephen Lee Clark,A Single Position in the Fabric of Spacetime,,,,,"style_exact, Ambient",https://discogs.com/release/29157934-Stephen-Lee-Clark-A-Single-Position-in-the-Fabric-of-Spacetime,,,
154*,Strike,,,,,"style_exact, Ambient",https://discogs.com/release/29000764-154-Strike,,,
Mort Garson,Mother Earth's Plantasia,,,,,"style_exact, Ambient",https://discogs.com/release/28966777-Mort-Garson-Mother-Earths-Plantasia,,,
Jason Simon,To The Dream Center,,,,,"style_exact, Ambient",https://discogs.com/release/29213377-Jason-Simon-To-The-Dream-Center,,,
JENNIFER,SINCERELY,,,,,"style_exact, Ambient",https://discogs.com/release/29209978-JENNIFER-SINCERELY,,,
"Mourning Souls, Freezing Luna",Sin Destino,,,,,"style_exact, Ambient",https://discogs.com/release/29207296-Mourning-Souls-Freezing-Luna-Sin-Destino,,,
FX666,Days Of Reflection,,,,,"style_exact, Ambient",https://discogs.com/release/29207116-FX666-Days-Of-Reflection,,,
Mourning Souls,EeXxPpEeRrIiMmEeNnTtAaLl NoiseesioN,,,,,"style_exact, Ambient",https://discogs.com/release/29200165-Mourning-Souls-EeXxPpEeRrIiMmEeNnTtAaLl-NoiseesioN,,,
Sam Jones ,Let Me See You're A Dream,,,,,"style_exact, Ambient",https://discogs.com/release/29167561-Sam-Jones-Let-Me-See-Youre-A-Dream,,,
Jean-Michel Jarre,Revolutions,,,,,"style_exact, Ambient",https://discogs.com/release/29156455-Jean-Michel-Jarre-Revolutions,,,
"Yuri Balashov, Yakushenko, Mikhail Medvedev, Ángel Ontalva",XXIst Century Gallery Sessions Vol. 1,,,,,"style_exact, Ambient",https://discogs.com/release/29134192-Yuri-Balashov-Yakushenko-Mikhail-Medvedev-%C3%81ngel-Ontalva-XXIst-Century-Gallery-Sessions-Vol-1,,,
Ian Hawgood,And Then There Was Nothing,,,,,"style_exact, Ambient",https://discogs.com/release/29146852-Ian-Hawgood-And-Then-There-Was-Nothing,,,
The Green Kingdom,Expanses Remixes,,,,,"style_exact, Ambient",https://discogs.com/release/29164459-The-Green-Kingdom-Expanses-Remixes,,,
Various,Piccadilly Records Sampler 2023,,,,,"style_exact, Ambient",https://discogs.com/release/29140003-Various-Piccadilly-Records-Sampler-2023,,,
Fields We Found,Expanse,,,,,"style_exact, Ambient",https://discogs.com/release/29231116-Fields-We-Found-Expanse,,,
Ljudbilden Boelja,Embers,,,,,"style_exact, Ambient",https://discogs.com/release/29230693-Ljudbilden-Boelja-Embers,,,
À Terre,1944,,,,,"style_exact, Ambient",https://discogs.com/release/29230747-%C3%80-Terre-1944,,,
Mourning Souls,A Brazilian Tribute To Darkthrone,,,,,"style_exact, Ambient",https://discogs.com/release/29228749-Mourning-Souls-A-Brazilian-Tribute-To-Darkthrone,,,
脱出夢*,無意識,,,,,"style_exact, Ambient",https://discogs.com/release/29158522-%E8%84%B1%E5%87%BA%E5%A4%A2-%E7%84%A1%E6%84%8F%E8%AD%98,,,
Joel Fausto,Illusion Orchestra At The Gloomy Club,,,,,"style_exact, Ambient",https://discogs.com/release/28978096-Joel-Fausto-Illusion-Orchestra-At-The-Gloomy-Club,,,
Lory D,CR78+,,,,,"style_exact, Ambient",https://discogs.com/release/29141095-Lory-D-CR78,,,
Mimasalen,Doris,,,,,"style_exact, Ambient",https://discogs.com/release/29124649-Mimasalen-Doris,,,
Astro,Meniscus Organs,,,,,"style_exact, Ambient",https://discogs.com/release/29113612-Astro-Meniscus-Organs,,,
Mondkopf,"They Fall, But You Don't",,,,,"style_exact, Ambient",https://discogs.com/release/29108776-Mondkopf-They-Fall-But-You-Dont,,,
Vatican Shadow,American Flesh For Violence,,,,,"style_exact, Ambient",https://discogs.com/release/29104237-Vatican-Shadow-American-Flesh-For-Violence,,,
Mondkopf,Spring Stories,,,,,"style_exact, Ambient",https://discogs.com/release/29086765-Mondkopf-Spring-Stories,,,
Carlos Simpson,Carlos Simpson,,,,,"style_exact, Ambient",https://discogs.com/release/29082790-Carlos-Simpson-Carlos-Simpson,,,
Luca Rigato,Attention Au Chien,,,,,"style_exact, Ambient",https://discogs.com/release/28992061-Luca-Rigato-Attention-Au-Chien,,,
Scott Lawlor,Naviar Virtual XI,,,,,"style_exact, Ambient",https://discogs.com/release/28979116-Scott-Lawlor-Naviar-Virtual-XI,,,
Ikjoyce,Selene,,,,,"style_exact, Ambient",https://discogs.com/release/28978900-Ikjoyce-Selene-,,,
FarragoL,Lucid Dreaming,,,,,"style_exact, Ambient",https://discogs.com/release/28966723-FarragoL-Lucid-Dreaming,,,
Uzu Noir | Ontelo,Invisible Labyrinth,,,,,"style_exact, Ambient",https://discogs.com/release/29156131-Uzu-Noir-Ontelo-Invisible-Labyrinth,,,
Heavy Cloud,Anamnesis,,,,,"style_exact, Ambient",https://discogs.com/release/29146603-Heavy-Cloud-Anamnesis,,,
Règne,The Kingdom Of The Sibyllines,,,,,"style_exact, Ambient",https://discogs.com/release/29143708-R%C3%A8gne-The-Kingdom-Of-The-Sibyllines,,,
Seiichi Yamamoto,Silhouette,,,,,"style_exact, Ambient",https://discogs.com/release/29141296-Seiichi-Yamamoto-Silhouette,,,
The Washing Planck,Integrale Sui Cammini,,,,,"style_exact, Ambient",https://discogs.com/release/29069803-The-Washing-Planck-Integrale-Sui-Cammini,,,
Himekami,Mayoiga,,,,,"style_exact, Ambient",https://discogs.com/release/29055856-Himekami-Mayoiga,,,
Fennec ,R.I.P City,,,,,"style_exact, Ambient",https://discogs.com/release/29034259-Fennec-RIP-City,,,
FarragoL,ビ​ー​ト​自​販​機​：​Best of Farragol,,,,,"style_exact, Ambient",https://discogs.com/release/28966549-FarragoL-%E3%83%93%E3%83%BC%E3%83%88%E8%87%AA%E8%B2%A9%E6%A9%9FBest-of-Farragol,,,
V. Kristoff,Spirals,,,,,"style_exact, Ambient",https://discogs.com/release/29213248-V-Kristoff-Spirals,,,
"Kilbey*, Kennedy*",Lost Worlds Of Persephone Nimbus,,,,,"style_exact, Ambient",https://discogs.com/release/29189536-Kilbey-Kennedy-Lost-Worlds-Of-Persephone-Nimbus,,,
Berke Can Özcan Featuring Arve Henriksen & Jonah Parzen-Johnson,Twin Rocks,,,,,"style_exact, Ambient",https://discogs.com/release/29189461-Berke-Can-%C3%96zcan-Featuring-Arve-Henriksen-Jonah-Parzen-Johnson-Twin-Rocks,,,
Radiolarians,Radiolarians,,,,,"style_exact, Ambient",https://discogs.com/release/29184022-Radiolarians-Radiolarians,,,
Mourning Souls,The Secrets Of Nature,,,,,"style_exact, Ambient",https://discogs.com/release/29180023-Mourning-Souls-The-Secrets-Of-Nature,,,
Cumbaya,Untitled,,,,,"style_exact, Ambient",https://discogs.com/release/29104717-Cumbaya-Untitled,,,
Tu M',Monochromes Vol​.​2,,,,,"style_exact, Ambient",https://discogs.com/release/29226133-Tu-M-Monochromes-Vol2,,,
Dr. Atmo,Suite 16,,,,,"style_exact, Ambient",https://discogs.com/release/29225044-Dr-Atmo-Suite-16,,,
Sven Phalanx,Wintersonnenwende & Rauhn​ä​chte,,,,,"style_exact, Ambient",https://discogs.com/release/29220823-Sven-Phalanx-Wintersonnenwende-Rauhn%C3%A4chte,,,
"Larry Fast, Synergy ",Metropolitan Suite,,,,,"style_exact, Ambient",https://discogs.com/release/29011270-Larry-Fast-Synergy-Metropolitan-Suite,,,
Fields We Found,Chroma,,,,,"style_exact, Ambient",https://discogs.com/release/29232433-Fields-We-Found-Chroma,,,
Jean Michel Jarre*,Equinoxe,,,,,"style_exact, Ambient",https://discogs.com/release/29117041-Jean-Michel-Jarre-Equinoxe,,,
Cholet_Danse,Cholet_Danse,,,,,"style_exact, Ambient",https://discogs.com/release/28971055-Cholet_Danse-Cholet_Danse,,,
"Aires , Canadian Rifles","Sky​-​Wide, Fading",,,,,"style_exact, Ambient",https://discogs.com/release/29135377-Aires-3-Canadian-Rifles-Sky-Wide-Fading,,,
FRKSE / Altered Form,Corporeal Identity Transmission,,,,,"style_exact, Ambient",https://discogs.com/release/29120494-FRKSE-Altered-Form-Corporeal-Identity-Transmission,,,
Thanasis Zlatanos,A Retrospective,,,,,"style_exact, Ambient",https://discogs.com/release/29094277-Thanasis-Zlatanos-A-Retrospective,,,
Dravier & Maya Lydia,Songs From The River,,,,,"style_exact, Ambient",https://discogs.com/release/29157961-Dravier-Maya-Lydia-Songs-From-The-River,,,
Freeze Etch,All Context Vanishes (Complete),,,,,"style_exact, Ambient",https://discogs.com/release/29156230-Freeze-Etch-All-Context-Vanishes-Complete,,,
The Green Kingdom,Prismatic,,,,,"style_exact, Ambient",https://discogs.com/release/29149834-The-Green-Kingdom-Prismatic,,,
Colorist,Overcloseness,,,,,"style_exact, Ambient",https://discogs.com/release/29142706-Colorist-Overcloseness,,,
Scape One,Cosmic Trax,,,,,"style_exact, Ambient",https://discogs.com/release/29140945-Scape-One-Cosmic-Trax,,,
Soundscapes Consortium,Beachscapes,,,,,"style_exact, Ambient",https://discogs.com/release/29139598-Soundscapes-Consortium-Beachscapes,,,
JLS*,I Can't Sleep Sometimes,,,,,"style_exact, Ambient",https://discogs.com/release/29134639-JLS-I-Cant-Sleep-Sometimes,,,
Mourning Souls,Kill You Tonight,,,,,"style_exact, Ambient",https://discogs.com/release/29131636-Mourning-Souls-Kill-You-Tonight,,,
Various,Buddha Chill,,,,,"style_exact, Ambient",https://discogs.com/release/29093848-Various-Buddha-Chill,,,
Musician17,Beat Terror,,,,,"style_exact, Ambient",https://discogs.com/release/29086204-Musician17-Beat-Terror-,,,
Children Of The Bong,Not Sirius,,,,,"style_exact, Ambient",https://discogs.com/release/29076553-Children-Of-The-Bong-Not-Sirius,,,
Acoleth,Forever,,,,,"style_exact, Ambient",https://discogs.com/release/29063443-Acoleth-Forever,,,
Iasos,Angelic Music,,,,,"style_exact, Ambient",https://discogs.com/release/29024467-Iasos-Angelic-Music,,,
Martin H Unzon,Alone,,,,,"style_exact, Ambient",https://discogs.com/release/29022139-Martin-H-Unzon-Alone,,,
Various,Non Si Potrebbe​? (A Compilation In Loving Memory Of Giulia Salvatori),,,,,"style_exact, Ambient",https://discogs.com/release/29008867-Various-Non-Si-Potrebbe-A-Compilation-In-Loving-Memory-Of-Giulia-Salvatori,,,
Various,Synoptics A Reflective Compilation,,,,,"style_exact, Ambient",https://discogs.com/release/28988842-Various-Synoptics-A-Reflective-Compilation,,,
Will Gardner ,Remains,,,,,"style_exact, Ambient",https://discogs.com/release/28988563-Will-Gardner-Remains,,,
Dao,The Indian Chronicles,,,,,"style_exact, Ambient",https://discogs.com/release/28983529-Dao-The-Indian-Chronicles,,,
Mare Mystica,Chillout For Dreamers,,,,,"style_exact, Ambient",https://discogs.com/release/29108353-Mare-Mystica-Chillout-For-Dreamers,,,
Mourning Souls,Ins​ô​nia,,,,,"style_exact, Ambient",https://discogs.com/release/29200012-Mourning-Souls-Ins%C3%B4nia,,,
K-Limov,K-Limov #8,,,,,"style_exact, Ambient",https://discogs.com/release/29228719-K-Limov-K-Limov-8,,,
Various,Excursions 1992-1998,,,,,"style_exact, Ambient",https://discogs.com/release/29218828-Various-Excursions-1992-1998,,,
"Markus Stockhausen, Luca Formentini",Rêverie,,,,,"style_exact, Ambient",https://discogs.com/release/29198248-Markus-Stockhausen-Luca-Formentini-R%C3%AAverie,,,
Dudal,Santeboutique,,,,,"style_exact, Ambient",https://discogs.com/release/29214769-Dudal-Santeboutique,,,
Podel,Fukushima,,,,,"style_exact, Ambient",https://discogs.com/release/29240284-Podel-Fukushima,,,
Navel,Im Norden,,,,,"style_exact, Ambient",https://discogs.com/release/29037421-Navel-Im-Norden,,,
Jaroslav Kořán / Michal Kořán,Šumavský Jam,,,,,"style_exact, Ambient",https://discogs.com/release/29159914-Jaroslav-Ko%C5%99%C3%A1n-Michal-Ko%C5%99%C3%A1n-%C5%A0umavsk%C3%BD-Jam,,,
Digitonal,Mirtazapine,,,,,"style_exact, Ambient",https://discogs.com/release/28984357-Digitonal-Mirtazapine,,,
Apollo Vermouth,Forever Back There,,,,,"style_exact, Ambient",https://discogs.com/release/29157547-Apollo-Vermouth-Forever-Back-There,,,
Supershell,Helmet Nebula,,,,,"style_exact, Ambient",https://discogs.com/release/29153326-Supershell-Helmet-Nebula,,,
Cosmic Hoffmann,Shiva Connection,,,,,"style_exact, Ambient",https://discogs.com/release/29153029-Cosmic-Hoffmann-Shiva-Connection,,,
Rhesus Echo,Epilogue,,,,,"style_exact, Ambient",https://discogs.com/release/29146558-Rhesus-Echo-Epilogue,,,
Yorkshire Modular Society,YMS_0140c,,,,,"style_exact, Ambient",https://discogs.com/release/29142556-Yorkshire-Modular-Society-YMS_0140c,,,
Jonathan Wilson ,Explorations: Healing Melodies for Wholeness,,,,,"style_exact, Ambient",https://discogs.com/release/29104021-Jonathan-Wilson-Explorations-Healing-Melodies-for-Wholeness,,,
Schroedinger's Cat,Airworlds 1n2,,,,,"style_exact, Ambient",https://discogs.com/release/29102341-Schroedingers-Cat-Airworlds-1n2,,,
"Rubidium Rings, Janet Wallace ",Ruin Pioneer,,,,,"style_exact, Ambient",https://discogs.com/release/29083813-Rubidium-Rings-Janet-Wallace-Ruin-Pioneer,,,
Tsunxmi,Long Walk Home,,,,,"style_exact, Ambient",https://discogs.com/release/29074357-Tsunxmi-Long-Walk-Home,,,
Biosphere,Substrata (Alternative Versions),,,,,"style_exact, Ambient",https://discogs.com/release/29061529-Biosphere-Substrata-Alternative-Versions,,,
Various,SMD Supporters Club Vol 18,,,,,"style_exact, Ambient",https://discogs.com/release/29053177-Various-SMD-Supporters-Club-Vol-18,,,
Tommie Balans,Mokie,,,,,"style_exact, Ambient",https://discogs.com/release/29046262-Tommie-Balans-Mokie,,,
Post Apocalyptic,Realm Of Sleep,,,,,"style_exact, Ambient",https://discogs.com/release/29042431-Post-Apocalyptic-Realm-Of-Sleep,,,
Yudol,Anthems of Nonexistence,,,,,"style_exact, Ambient",https://discogs.com/release/29024023-Yudol-Anthems-of-Nonexistence,,,
Medasin,Always In A Hurry,,,,,"style_exact, Ambient",https://discogs.com/release/29021917-Medasin-Always-In-A-Hurry,,,
xpedient,XJR-9,,,,,"style_exact, Ambient",https://discogs.com/release/29018605-xpedient-XJR-9,,,
Totemtag,Electro​-​Rocking Motions,,,,,"style_exact, Ambient",https://discogs.com/release/29002084-Totemtag-Electro-Rocking-Motions,,,
Aristeo,Monumento A La Razón,,,,,"style_exact, Ambient",https://discogs.com/release/28993699-Aristeo-Monumento-A-La-Raz%C3%B3n,,,
Closeyoureyes,a​̄​lea (Live),,,,,"style_exact, Ambient",https://discogs.com/release/28969357-Closeyoureyes-alea-Live,,,
Coral Chiller,Observe,,,,,"style_exact, Ambient",https://discogs.com/release/29210581-Coral-Chiller-Observe,,,
Sotvorishi*,Foaming Waves,,,,,"style_exact, Ambient",https://discogs.com/release/29209675-Sotvorishi-Foaming-Waves,,,
Infinite Scale,A Little Tale Of Forest Lewis,,,,,"style_exact, Ambient",https://discogs.com/release/29205118-Infinite-Scale-A-Little-Tale-Of-Forest-Lewis,,,
Temp-Illusion,Pend Reworks,,,,,"style_exact, Ambient",https://discogs.com/release/29205064-Temp-Illusion-Pend-Reworks,,,
Tomboy Facefuck,Cold Like Snow,,,,,"style_exact, Ambient",https://discogs.com/release/29180119-Tomboy-Facefuck-Cold-Like-Snow,,,
Tomboy Facefuck,Until Death Do Us Part,,,,,"style_exact, Ambient",https://discogs.com/release/29179519-Tomboy-Facefuck-Until-Death-Do-Us-Part,,,
Tomboy Facefuck,War Against This Evil World,,,,,"style_exact, Ambient",https://discogs.com/release/29179381-Tomboy-Facefuck-War-Against-This-Evil-World,,,
Various,Soft Pop Should I Stay,,,,,"style_exact, Ambient",https://discogs.com/release/29176348-Various-Soft-Pop-Should-I-Stay,,,
Yorkshire Modular Society,YMS_0231c,,,,,"style_exact, Ambient",https://discogs.com/release/29171470-Yorkshire-Modular-Society-YMS_0231c,,,
Ser ,Âv​é​é​chrh​û​lein Aun Ry​á​nlhem,,,,,"style_exact, Ambient",https://discogs.com/release/29186740-Ser-%C3%82v%C3%A9%C3%A9chrh%C3%BBlein-Aun-Ry%C3%A1nlhem,,,
J. Greinke*,Over Ruins,,,,,"style_exact, Ambient",https://discogs.com/release/29083051-J-Greinke-Over-Ruins,,,
Hexode,Carnivorous Flora,,,,,"style_exact, Ambient",https://discogs.com/release/29232694-Hexode-Carnivorous-Flora,,,
Hexode,Coming Attractions Mix,,,,,"style_exact, Ambient",https://discogs.com/release/29232670-Hexode-Coming-Attractions-Mix,,,
Gypsy ,The Tuning In Before The Dropping Out,,,,,"style_exact, Ambient",https://discogs.com/release/29218285-Gypsy-The-Tuning-In-Before-The-Dropping-Out,,,
Castle From Indistinct Dreams,Top Believe,,,,,"style_exact, Ambient",https://discogs.com/release/29217715-Castle-From-Indistinct-Dreams-Top-Believe,,,
Kovács Ákos,Aranyszárnyú Angyal,,,,,"style_exact, Ambient",https://discogs.com/release/29216770-Kov%C3%A1cs-%C3%81kos-Aranysz%C3%A1rny%C3%BA-Angyal,,,
M.B. / Maurizio Bianchi* And Coalminer + Allies*,Antimateria,,,,,"style_exact, Ambient",https://discogs.com/release/29235568-MB-Maurizio-Bianchi-And-Coalminer-Allies-Antimateria,,,
Louis Boone,The Key To The Other Half Of The Answer,,,,,"style_exact, Ambient",https://discogs.com/release/29224315-Louis-Boone-The-Key-To-The-Other-Half-Of-The-Answer,,,
Out-Or,Spektrum,,,,,"style_exact, Ambient",https://discogs.com/release/29219734-Out-Or-Spektrum,,,
Deep Forest,Boheme,,,,,"style_exact, Ambient",https://discogs.com/release/29217583-Deep-Forest-Boheme,,,
Various,Turadh,,,,,"style_exact, Ambient",https://discogs.com/release/29004232-Various-Turadh,,,
Mick Chillage,Abandoned Memories,,,,,"style_exact, Ambient",https://discogs.com/release/29001277-Mick-Chillage-Abandoned-Memories,,,
Ghostwoods ,Brighter Now,,,,,"style_exact, Ambient",https://discogs.com/release/28991287-Ghostwoods-Brighter-Now,,,
Various,"Anniversary VA: Awesome Mix, Vol. 1",,,,,"style_exact, Ambient",https://discogs.com/release/28985554-Various-Anniversary-VA-Awesome-Mix-Vol-1,,,
Dislocations,Dislocated Mountain,,,,,"style_exact, Ambient",https://discogs.com/release/28982584-Dislocations-Dislocated-Mountain,,,
Remis Espacial,Remis Espacial,,,,,"style_exact, Ambient",https://discogs.com/release/28973872-Remis-Espacial-Remis-Espacial,,,
Abisma,Mem​ó​rias,,,,,"style_exact, Ambient",https://discogs.com/release/28971604-Abisma-Mem%C3%B3rias,,,
Nando Cordel,Doce Paz Meditação,,,,,"style_exact, Ambient",https://discogs.com/release/28969162-Nando-Cordel-Doce-Paz-Medita%C3%A7%C3%A3o,,,
Sverre Knut Johansen,Lights,,,,,"style_exact, Ambient",https://discogs.com/release/28965619-Sverre-Knut-Johansen-Lights,,,
G.E.N.E.,Magic Island,,,,,"style_exact, Ambient",https://discogs.com/release/29016499-GENE-Magic-Island,,,
Burzum,Filosofem,,,,,"style_exact, Ambient",https://discogs.com/release/29010829-Burzum-Filosofem,,,
Tomboy Facefuck,"When I Die, They Will Forgive My Sins.",,,,,"style_exact, Ambient",https://discogs.com/release/29179807-Tomboy-Facefuck-When-I-Die-They-Will-Forgive-My-Sins,,,
J Orphic,Propaganda '900,,,,,"style_exact, Ambient",https://discogs.com/release/29010841-J-Orphic-Propaganda-900,,,
Totemtag,Electro​-​Rocking Motions,,,,,"style_exact, Ambient",https://discogs.com/release/29002090-Totemtag-Electro-Rocking-Motions,,,
Juanito Thompson,Ancient Weeds,,,,,"style_exact, Ambient",https://discogs.com/release/28991107-Juanito-Thompson-Ancient-Weeds,,,
MC Hair,Jewels,,,,,"style_exact, Ambient",https://discogs.com/release/29142778-MC-Hair-Jewels,,,
