,Release Artists,Release Titles,Discogs Url,Discogs Tags,SoundCloud Url,Youtube Url
56,Louis Armstrong,Louis Armstrong Volume 1,/release/28957630-Louis-Armstrong-Louis-Armstrong-Volume-1,,,
57,Sonny Terry & Brownie McGhee,Midnight Special,/release/29095249-Sonny-Terry-Brownie-McGhee-Midnight-Special,,,
58,"Dr. John, The Night Tripper*","The Sun, Moon & Herbs",/release/29105170-Dr-JohnNight-Tripper-The-Sun-Moon-Herbs,,,
59,Fats Domino,Something's Wrong / Don't Leave Me This Way,/release/29059162-Fats-Domino-Somethings-Wrong-Dont-Leave-Me-This-Way,,,
60,Lazy Lester,They Call Me Lazy,/release/28921798-Lazy-Lester-They-Call-Me-Lazy,,,
61,Howlin' Wolf,The London Howlin' Wolf Sessions,/release/29017534-Howlin-Wolf-The-London-Howlin-Wolf-Sessions,,,
62,Fats Domino,Red Sails In The Sunset / Song For Rosemary,/release/28941952-Fats-Domino-Red-Sails-In-The-Sunset-Song-For-Rosemary,,,
63,Dr. John,Duke Elegant,/release/28953607-Dr-John-Duke-Elegant,,,
64,Bon Ton Garlow,Purty Little Doolie / Sundown,/release/28847956-Bon-Ton-Garlow-Purty-Little-Doolie-Sundown,,,
65,Larry Fotine And His Beale St. Buskers,Take 5,/release/29079697-Larry-Fotine-And-His-Beale-St-Buskers-Take-5,,,
66,Luke Winslow-King,Blue Mesa,/release/28968655-Luke-Winslow-King-Blue-Mesa,,,
67,Dr. John,Plays Mac Rebennack,/release/28822624-Dr-John-Plays-Mac-Rebennack,,,
68,Blues in the Box,Solo y Maljuntado,/release/28796644-Blues-in-the-Box-Solo-y-Maljuntado,,,
69,Various,Original Blues,/release/28769194-Various-Original-Blues-,,,
70,Tab Benoit,Time And Time Again,/release/28762495-Tab-Benoit-Time-And-Time-Again,,,
71,"Tab Benoit, Tab Benoit",Nice And Warm,/release/28761754-Tab-Benoit-Tab-Benoit-Nice-And-Warm,,,
72,Tommy McLain,Sweet Dreams / I Need You So,/release/28755325-Tommy-McLain-Sweet-Dreams-I-Need-You-So,,,
73,Elvis Costello & Allen Toussaint,Hot As A Pistol Keen As A Blade,/release/28735084-Elvis-Costello-Allen-Toussaint-Hot-As-A-Pistol-Keen-As-A-Blade,,,
74,Clifton Chenier,Clifton Chenier's Very Best,/release/28728703-Clifton-Chenier-Clifton-Cheniers-Very-Best,,,
75,Brother Dege,Scorched Earth Policy,/release/28718797-Brother-Dege-Scorched-Earth-Policy,,,
76,Various,The Great Blues Singers,/release/28679542-Various-The-Great-Blues-Singers,,,
77,Dr. John,Dr. John Plays Mac Rebennack,/release/28626412-Dr-John-Dr-John-Plays-Mac-Rebennack,,,
78,Fats Domino,Be My Guest,/release/28608481-Fats-Domino-Be-My-Guest,,,
79,Sonny Landreth,The Road We're On,/release/28606603-Sonny-Landreth-The-Road-Were-On,,,
80,Little Feat,Dixie Chicken,/release/28601050-Little-Feat-Dixie-Chicken,,,
81,Tab Benoit,These Blues Are All Mine,/release/28586233-Tab-Benoit-These-Blues-Are-All-Mine,,,
82,Cocodrile Gombo,Cocodrile Gombo,/release/28585567-Cocodrile-Gombo-Cocodrile-Gombo,,,
83,Paul San Martín,Paul San Martín Meets The Broken Horns,/release/28579012-Paul-San-Mart%C3%ADn-Paul-San-Mart%C3%ADn-Meets-The-Broken-Horns,,,
84,Various,Z'Bottmige tönt's eso,/release/28543816-Various-ZBottmige-t%C3%B6nts-eso,,,
85,Tommy Brown ,"Someday, Somewhere / Rock Away My Blues",/release/28533061-Tommy-Brown-Someday-Somewhere-Rock-Away-My-Blues,,,
86,Carol Fran,One Look At You Daddy,/release/28505218-Carol-Fran-One-Look-At-You-Daddy,,,
